aknosom__head	3	guarding_reload	1
aknosom__head	6	guarding_reload	2
aknosom__chest	3	guarding_reload	1
aknosom__chest	6	guard	1
aknosom__arms	3	feat_of_agility	1
aknosom__arms	6	power_prolonger	1
aknosom__waist	3	critical_eye	1
aknosom__waist	6	peak_performance	1
aknosom__legs	3	fire_attack	1
aknosom__legs	6	fire_attack	2
almudron__head	4	water_attack_boost_secret	1
almudron__head	4	water_attack	1
almudron__head	6	sneak_attack	1
almudron__chest	4	water_attack_boost_secret	1
almudron__chest	4	water_attack	1
almudron__chest	6	water_attack	2
almudron__arms	4	ballistic	1
almudron__arms	6	artful_dodger	1
almudron__waist	4	water_attack_boost_secret	1
almudron__waist	4	reload_speed	1
almudron__waist	6	spare_shot	1
almudron__legs	4	feat_of_agility	1
almudron__legs	6	lock_on	1
almudron__legs	8	feat_of_agility	2
anjanath__head	4	fire_attack	2
anjanath__head	6	fire_resistance	1
anjanath__chest	4	special_boost	1
anjanath__chest	6	special_boost	2
anjanath__arms	4	fire_attack	1
anjanath__arms	6	fire_attack	2
anjanath__waist	4	fire_resistance	1
anjanath__waist	6	special_boost	1
anjanath__legs	4	peak_performance	1
anjanath__legs	6	peak_performance	2
arzuros__head	2	multi_attack_boost	1
arzuros__head	4	multiplayer_boost	1
arzuros__chest	2	multi_attack_boost	1
arzuros__chest	4	multi_attack_boost	2
arzuros__chest	6	multi_attack_boost	3
arzuros__arms	2	focus	1
arzuros__arms	4	concentration	1
arzuros__arms	6	focus	2
arzuros__waist	2	morph_boost	1
arzuros__waist	6	morph_boost	2
arzuros__legs	2	brutal_strike	1
arzuros__legs	6	special_boost	1
astalos__head	5	thunder_attack_boost_secret	1
astalos__head	6	reload_speed	1
astalos__head	8	thunder_attack	1
astalos__chest	5	thunder_attack_boost_secret	1
astalos__chest	6	auto_just_dodge	1
astalos__chest	8	auto_just_dodge	2
astalos__arms	5	thunder_attack_boost_secret	1
astalos__arms	6	auto_just_dodge	1
astalos__arms	8	burst_dodger	1
astalos__waist	5	thunder_attack_boost_secret	1
astalos__waist	6	critical_element	1
astalos__waist	8	critical_eye	1
astalos__legs	5	thunder_attack_boost_secret	1
astalos__legs	6	thunder_attack	1
astalos__legs	8	thunder_attack	2
azure_rathalos__head	5	focus	1
azure_rathalos__head	6	focus	2
